timestamp,device_0,device_1,device_2,device_3
1681385722972136325,100,100,100,100
1681385722973822724,100,100,100,100
1681385722975501747,100,100,100,100
1681385722977181790,100,100,100,100
1681385722978863127,100,100,100,100
1681385722980547679,100,100,100,100
1681385722982243304,100,100,100,100
1681385722984015758,100,100,100,100
1681385722985701600,100,100,100,100
1681385722987393343,100,100,100,100
1681385722989082840,100,100,100,100
1681385722990800206,100,100,100,100
1681385722992543516,100,100,100,100
1681385722994289591,100,100,100,100
1681385722995979257,100,100,100,100
1681385722997669358,100,100,100,100
1681385722999354156,100,100,100,100
1681385723001047279,100,100,100,100
1681385723002726682,100,100,100,100
1681385723004420829,100,100,100,100
1681385723006126469,100,100,100,100
1681385723007810524,100,100,100,100
1681385723009563020,100,100,100,100
1681385723011246235,100,100,100,100
1681385723012963980,100,100,100,100
1681385723014660525,100,100,100,100
1681385723016344579,100,100,100,100
1681385723018031239,100,100,100,100
1681385723019711778,100,100,100,100
1681385723021398230,100,100,100,100
1681385723023072032,100,100,100,100
1681385723024923096,100,100,100,100
1681385723026599643,100,100,100,100
1681385723028289055,100,100,100,100
1681385723030006561,100,100,100,100
1681385723031691674,100,100,100,100
1681385723033394256,100,100,100,100
1681385723035137315,100,100,100,100
1681385723036815647,100,100,100,100
1681385723038502599,100,100,100,100
1681385723040190900,100,100,100,100
1681385723041876652,100,100,100,100
1681385723043562041,100,100,100,100
1681385723045299736,100,100,100,100
1681385723046985911,100,100,100,100
1681385723048675117,100,100,100,100
1681385723050370323,100,100,100,100
1681385723052063869,100,100,100,100
1681385723053779141,100,100,100,100
1681385723055483005,100,100,100,100
1681385723057177437,100,100,100,100
1681385723058869040,100,100,100,100
1681385723060557841,100,100,100,100
1681385723062261813,100,100,100,100
1681385723063968960,100,100,100,100
1681385723065653034,100,100,100,100
1681385723067338410,100,100,100,100
1681385723069041702,100,100,100,100
1681385723070731118,100,100,100,100
1681385723072446256,100,100,100,100
1681385723074125041,100,100,100,100
1681385723075821426,100,100,100,100
1681385723077492119,100,100,100,100
1681385723079156501,100,100,100,100
1681385723080828086,100,100,100,100
1681385723082535600,100,100,100,100
1681385723084267719,100,100,100,100
1681385723085980531,100,100,100,100
1681385723087687641,100,100,100,100
1681385723089411397,100,100,100,100
1681385723091136444,100,100,100,100
1681385723092874468,100,100,100,100
1681385723094578914,100,100,100,100
1681385723096264500,100,100,100,100
1681385723097970569,100,100,100,100
1681385723099657578,100,100,100,100
1681385723101340747,100,100,100,100
1681385723103024673,100,100,100,100
1681385723104784322,100,100,100,100
1681385723106471404,100,100,100,100
1681385723108153761,100,100,100,100
1681385723109897637,100,100,100,100
1681385723111590799,100,100,100,100
1681385723113327749,100,100,100,100
1681385723115037227,100,100,100,100
1681385723116782824,100,100,100,100
1681385723118464197,100,100,100,100
1681385723120186198,100,100,100,100
1681385723121871935,100,100,100,100
1681385723123562356,100,100,100,100
1681385723125302034,100,100,100,100
1681385723126986723,100,100,100,100
1681385723128673530,100,100,100,100
